Spec#,Date coll,Jar #,Tag # individ,M/F,mm,BD,MC(L),MC(S),ACANTH,Coordinates,,
CT_068,May-28-2019,Cray2019_343,Trog_0323,F,19.8,4,,,,"Cray2019_343: 33.663113N, -79.135584W",,
CT_069,7-Nov-2019,Cray2019_534,Trog_0314,M,21.8,,,,,"Cray2019_534: 32.79932N, -79.89759W",,
CT_070,18-May-2019,Cray2019_304,Trog_0220,M,30.8,3,,,,"Cray2019_304: 33.231733N, -79.481915W",,
CT_071,18-May-2019,Cray2019_304,Trog_0219,M,29.6,1,,,,"Cray2019_304: 33.231733N, -79.481915W",,
CT_072,18-May-2019,Cray2019_304,Trog_0218,F,25.9,,,,,"Cray2019_304: 33.231733N, -79.481915W",,
CT_073,18-May-2019,Cray2019_304,Trog_0217,M,23.7,,,,,"Cray2019_304: 33.231733N, -79.481915W",,
CT_074,18-May-2019,Cray2019_304,Trog_0216,M,30.1,,,,,"Cray2019_304: 33.231733N, -79.481915W",,
CT_075,23-May-2019,Cray2019_?,N/A,F,26.1,,,10,,"Cray2019_?: 33.231833N, -79.480719W",,
CT_076,23-May-2019,Cray2019_?,N/A,M,33.4,,,,2,"Cray2019_?: 33.231833N, -79.480719W",,
CT_077,23-May-2019,Cray2019_?,N/A,F,27.2,,,,,"Cray2019_?: 33.231833N, -79.480719W",,
CT_078,23-May-2019,Cray2019_?,N/A,M,25.3,,,,1,"Cray2019_?: 33.231833N, -79.480719W",,
CT_079,23-May-2019,Cray2019_?,N/A,M,28.9,,,,,"Cray2019_?: 33.231833N, -79.480719W",,
CT_080,23-May-2019,Cray2019_?,N/A,M,26,,,10,,"Cray2019_?: 33.231833N, -79.480719W",,
CT_081,23-May-2019,Cray2019_?,N/A,F,27.1,1,,,1,"Cray2019_?: 33.231833N, -79.480719W",,
CT_082,24-Oct-2019,Cray2019_505,Trog_0326,M,25.3,,,18,0,"Cray2019_505: 32.87934N, -79.77369W",,
CT_083,24-Oct-2019,Cray2019_505,Trog_0325,M,26.2,,2,,,"Cray2019_505: 32.87934N, -79.77369W",,
CT_084,22-Oct-2019,Cray2019_506,Trog_0324,M,27.5,,1,,,"Cray2019_506: 32.87934N, -79.77369W",,
CT_085,23-Oct-2019,Cray2019_519,Trog_0289,F,24.1,,,,,"Cray2019_519: 32.8595428N, -80.077510W",,
CT_086,12-Oct-2019,Cray2019_564,349,M,23.6,,,,,"Cray2019_564: 32.89126N,79.79546W",,
CT_087,12-Oct-2019,Cray2019_564,348,M,24.3,,,,,"Cray2019_564: 32.89126N,79.79546W",,
CT_088,7-Nov-2019,Cray2019_533,Cray 231,M,22.9,,,,,"Cray2019_533: 32.81553N, -80.11628W",,
CT_089,7-Nov-2019,Cray2019_533,Trog_0*,M,19.5,,,,,"Cray2019_533: 32.81553N, -80.11628W",,
CT_090,7-Nov-2019,Cray2019_533,Cray 230,M,19.5,,,,,"Cray2019_533: 32.81553N, -80.11628W",,
CT_091,26-Sept-2019,Cray2019_419,Trog_0616,F,21.4,,,,,"Cray2019_419: 32.90317, -79.82336W",,
CT_092,26-Sept-2019,Cray2019_419,Trog_0615,F,20.9,,5,,,"Cray2019_419: 32.90317, -79.82336W",,
CT_093,26-Sept-2019,Cray2019_419,Trog_0614,F,22.8,,,,,"Cray2019_419: 32.90317, -79.82336W",,
CT_094,20-April-2019,Cray2019_312,Trog_0312,M,26.8,,,,,"Cray2019_312: 33.244488, -79.520632W",,
CT_095,20-April-2019,Cray2019_313,Trog_0288,M,27.6,,,,,"Cray2019_313: 33.244488, -79.520632W",,
CT_096,20-April-2019,Cray2019_315,Trog_0252,M,27.2,,,,,"Cray2019_315: 33.244488, -79.520632W",,
